,Name,Year,Maturity Rating,Duration,Rating,Metacritic Score,Genre,Summary
0,Killers of the Flower Moon,(2023),R,206 min,7.6,"89        
        Metascore","Crime, Drama, History",KEEP FOLLOW! To be continued...
1,John Wick: Chapter 4,(2023),R,169 min,7.7,"78        
        Metascore","Action, Crime, Thriller","When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
2,BlackBerry,(2023),R,120 min,7.4,"78        
        Metascore","Biography, Comedy, Drama","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
3,The Figo Affair: The Transfer that Changed Football,(2022),TV-MA,105 min,7.1,"68        
        Metascore","Documentary, Sport",The story of the meteoric rise and catastrophic demise of the world's first smartphone.
4,Hustle,(2022),R,117 min,7.3,"72        
        Metascore","Comedy, Drama, Sport",This documentary spotlights one of the most contentious deals in football history and the extraordinary player at the center of the storm: Luís Figo.
5,The Batman,(2022),PG-13,176 min,7.8,"71        
        Metascore","Action, Crime, Drama",A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.
6,Spider-Man: No Way Home,(2021),PG-13,148 min,8.2,"68        
        Metascore","Action, Adventure, Fantasy","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
7,No Time to Die,(2021),PG-13,163 min,7.3,"76        
        Metascore","Action, Adventure, Thriller","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
8,King Richard,(2021),PG-13,144 min,7.5,"79        
        Metascore","Biography, Drama, Sport","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
9,Another Round,(2020),Not Rated,117 min,7.7,"82        
        Metascore",Drama,A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard.
10,My Octopus Teacher,(2020),TV-G,85 min,8.1,"78        
        Metascore",Documentary,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
11,1917,(2019),R,119 min,8.2,"59        
        Metascore","Action, Drama, War","A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world."
12,Joker,(I) (2019),R,122 min,8.4,"97        
        Metascore","Crime, Drama, Thriller","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
13,Parasite,(2019),R,132 min,8.5,"75        
        Metascore","Drama, Thriller","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
14,La belle époque,(2019),R,115 min,7.4,"69        
        Metascore","Comedy, Drama, Fantasy",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
15,Green Book,(2018),PG-13,130 min,8.2,"83        
        Metascore","Biography, Comedy, Drama","Victor, a disillusioned 60-something whose marriage is on the rocks, opts to relive the week of his life when, 40 years earlier, he met his true love through a company that allows customers to return to the time period of their choosing."
16,The Post,(2017),PG-13,116 min,7.2,"94        
        Metascore","Biography, Drama, History",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
17,Dunkirk,(2017),PG-13,106 min,7.8,"69        
        Metascore","Action, Drama, History",A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.
18,Lion,(2016),PG-13,118 min,8,"65        
        Metascore","Biography, Drama","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
19,Deadpool,(2016),R,108 min,8,"76        
        Metascore","Action, Comedy","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
20,The Revenant,(I) (2015),R,156 min,8,"81        
        Metascore","Action, Adventure, Drama","A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
21,The Big Short,(2015),R,130 min,7.8,"80        
        Metascore","Biography, Comedy, Drama",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
22,The Martian,(2015),PG-13,144 min,8,"86        
        Metascore","Adventure, Drama, Sci-Fi","In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
23,Room,(I) (2015),R,118 min,8.1,"93        
        Metascore","Drama, Thriller","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
24,Spotlight,(I) (2015),R,129 min,8.1,"57        
        Metascore","Biography, Crime, Drama","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
25,Southpaw,(2015),R,124 min,7.3,"82        
        Metascore","Action, Drama, Sport","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
26,Sicario,(2015),R,121 min,7.7,"73        
        Metascore","Action, Crime, Drama","After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career."
27,American Sniper,(2014),R,133 min,7.3,"79        
        Metascore","Action, Biography, Drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
28,Selma,(2014),PG-13,128 min,7.5,"74        
        Metascore","Biography, Drama, History","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind."
29,Interstellar,(2014),PG-13,169 min,8.7,"71        
        Metascore","Adventure, Drama, Sci-Fi","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965."
30,The Imitation Game,(2014),PG-13,114 min,8,"87        
        Metascore","Biography, Drama, Thriller","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
31,Birdman or (The Unexpected Virtue of Ignorance),(2014),R,119 min,7.7,"79        
        Metascore","Comedy, Drama","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
32,Dawn of the Planet of the Apes,(2014),PG-13,130 min,7.6,"77        
        Metascore","Action, Adventure, Drama","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
33,Wild Tales,(2014),R,122 min,8.1,"69        
        Metascore","Comedy, Drama, Thriller",The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.
34,The Fault in Our Stars,(2014),PG-13,126 min,7.7,"70        
        Metascore","Drama, Romance",Six short stories that explore the extremities of human behavior involving people in distress.
35,Captain America: The Winter Soldier,(2014),PG-13,136 min,7.7,"88        
        Metascore","Action, Adventure, Sci-Fi","Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam."
36,The Grand Budapest Hotel,(2014),R,99 min,8.1,"100        
        Metascore","Adventure, Comedy, Crime","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
37,Boyhood,(I) (2014),R,165 min,7.9,"89        
        Metascore",Drama,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
38,Whiplash,(2014),R,106 min,8.5,"75        
        Metascore","Drama, Music","The life of Mason, from early childhood to his arrival at college."
39,The Wolf of Wall Street,(2013),R,180 min,8.2,"60        
        Metascore","Biography, Comedy, Crime",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
40,Lone Survivor,(2013),R,121 min,7.5,"82        
        Metascore","Action, Biography, Drama","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
41,Captain Phillips,(2013),PG-13,134 min,7.8,"77        
        Metascore","Action, Biography, Crime","Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
42,Dallas Buyers Club,(2013),R,117 min,7.9,"70        
        Metascore","Biography, Drama","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
43,Prisoners,(2013),R,153 min,8.2,"96        
        Metascore","Crime, Drama, Mystery","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
44,12 Years a Slave,(2013),R,134 min,8.1,"68        
        Metascore","Biography, Drama, History","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
45,The Conjuring,(2013),R,112 min,7.5,"62        
        Metascore","Horror, Mystery, Thriller","In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery."
46,Iron Man Three,(2013),PG-13,130 min,7.1,"81        
        Metascore","Action, Adventure, Sci-Fi",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
47,Django Unchained,(2012),R,165 min,8.5,"81        
        Metascore","Drama, Western","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
48,Skyfall,(2012),PG-13,143 min,7.8,"67        
        Metascore","Action, Adventure, Thriller","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
49,The Perks of Being a Wallflower,(2012),PG-13,103 min,7.9,"78        
        Metascore",Drama,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
50,The Dark Knight Rises,(2012),PG-13,164 min,8.4,"69        
        Metascore","Action, Drama, Thriller","Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past."
51,The Avengers,(2012),PG-13,143 min,8,"68        
        Metascore","Action, Sci-Fi","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
52,The Hunger Games,(2012),PG-13,142 min,7.2,"71        
        Metascore","Action, Adventure, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
