,Name,Year,Rating,Critic Consensus,Summary
0,Invincible: Season 2,(2023),100,"Still as bracing as a punch to the face and invigorating with its vivid worldbuilding, Invincible is practically impervious to disappointing audiences in this sterling sophomore season.",
1,Reservation Dogs: Season 3,(2023),100,"Bowing out while still having plenty of creativity to spare, Reservation Dogs' final season sidesteps feeling premature by satisfying on every level.",
2,Reacher: Season 2,(2023),98,"Brawny as Alan Ritchson's biceps, Reacher swaggers confidently into its sophomore season as rock 'em sock 'em pulp with a sly wink.",
3,Happy Valley: Season 3,(2023),100,"Full of highs and with nary a low, Happy Valley returns at the peak of its hardscrabble powers, with Sarah Lancashire seamlessly slipping back into her quintessential role for one final mystery.",
4,A Small Light: Limited Series,(2023),100,"Bel Powley's arresting performance burns bright in A Small Light, a sensitive portrait of heroism in the face of all-encompassing tragedy.",
5,Colin from Accounts: Season 1,(2022),100,"Tonally elastic and blessed with Patrick Brammall and Harriet Dyer's sparky chemistry, Colin from Accounts makes the alchemy of a satisfying rom-com feel effortless.",
6,Foundation: Season 2,(2023),100,"With its complicated bedrock now established, Foundation spreads its wings in an improved sophomore season that rewards viewers' patience with a brainy sci-fi epic of genuine grandeur.",
7,Drops of God: Season 1,(2023),100,"A saga of cutthroat competition with notes of cool intelligence, Drops of God is a sleek entertainment sure to stimulate refined palates.",
8,Cunk on Earth: Season 1,(2022),100,"Diane Morgan feigns dopiness with ingenious comedic timing in Cunk on Earth, a gut-busting sendup of anthropological documentaries.",
9,The Other Two: Season 3,(2023),100,"The elder Dubek siblings may still feel like they're also-rans, but The Other Two remains cream of the crop in a third season that turns foiled dreams into delightful comedy.",
10,Primo: Season 1,(2023),100,"Bearing the unmistakable stamp of creator Shea Serrano's authentic voice, Primo is a generation-spanning sitcom that feels like home.",
11,Deadloch: Season 1,(2023),100,"An irreverent twist on the crime procedural, Deadloch's addictive mixture of mystery and mordant humor makes most of its corpse-strewn competition look comparably stiff.",
12,For All Mankind: Season 4,(2023),100,"Houston, there's no problem here -- For All Mankind's fourth season hones in on what the series does best and forges ahead with a thought-provoking revisionist history.",
13,Blue Eye Samurai: Season 1,(2023),100,"Visually dazzling while paying deft attention to character, Blue Eye Samurai is a masterfully rendered animated adventure.",
14,Scavengers Reign: Season 1,(2023),100,"Disturbing and wondrous, Scavengers Reign presents a vividly realized world that beckons exploration by its marooned characters and television viewers alike.",
15,Somebody Somewhere: Season 2,(2023),100,"Somebody Somewhere captures the bittersweet beauty of life in all its minutiae, never forgetting to laugh in the face of adversity.",
16,Gremlins: Secrets of the Mogwai: Season 1,(2023),100,"Recapturing the original movies' blend of cuteness and mayhem, Secrets of the Mogwai is delightful family entertainment -- just don't feed it after midnight.",
17,Killing It: Season 2,(2023),100,"Scathing as ever and even funnier than before, Killing It's sophomore season compresses capitalistic malaise into a comedic diamond.",
18,The Bear: Season 2,(2023),99,"Instead of reinventing the menu, The Bear's second season wisely opts to toss its lovable characters into another frying pan of adversity, lets 'em cook, and serves up yet another supremely satisfying dish.",
19,Star Trek: Strange New Worlds: Season 1,(2022),99,"Strange New Worlds treks across familiar territory to refreshing effect, its episodic structure and soulful cast recapturing the sense of boundless discovery that defined the franchise's roots.",
20,Beef: Season 1,(2023),98,"Ali Wong and Steven Yeun are a diabolically watchable pair of adversaries in Beef, a prime cut comedy that finds the pathos in pettiness.",
