,Name,Year,Duration,Rating,Metacritic Score,Genre,Summary
0,Shōgun,(2024),60 min,9.1,,"Adventure, Drama, History",Ranked Best of 2024
1,Ripley,(2024),60 min,8.1,,"Crime, Drama, Thriller","When a mysterious European ship is found marooned in a nearby fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies."
2,X-Men '97,(2024– ),60 min,9,,"Animation, Action, Adventure",A grifter named Ripley living in New York during the 1960s is hired by a wealthy man to bring his vagabond son home from Italy.
3,Tokyo Vice,(2022– ),30 min,8,,"Crime, Drama, Thriller","A band of mutants use their uncanny gifts to protect a world that hates and fears them; they're challenged like never before, forced to face a dangerous and unexpected new future."
4,Sugar,(2024– ),60 min,8,,"Crime, Drama, Mystery",A Western journalist working for a publication in Tokyo takes on one of the city's most powerful crime bosses.
5,3 Body Problem,(2024),60 min,7.6,,"Adventure, Drama, Fantasy","Private investigator John Sugar examines the mysterious disappearance of Olivia Siegel, the granddaughter of a legendary Hollywood producer."
6,Curb Your Enthusiasm,(2000–2024),50 min,8.8,,Comedy,"A fateful decision made in 1960s China reverberates in the present, where a group of scientists partner with a detective to confront an existential planetary threat."
7,True Detective,(2014– ),56 min,8.9,,"Crime, Drama, Mystery",Larry David stars as an over-the-top version of himself in this comedy series that shows how seemingly trivial details of day-to-day life can precipitate a catastrophic chain of events.
8,The Walking Dead: The Ones Who Live,(2024),45 min,8.2,,"Drama, Horror, Thriller","Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
9,The Gentlemen,(2024),55 min,8.1,,"Action, Comedy, Crime","The love story between Rick and Michonne. Changed by a world that is constantly changing, will they find themselves in a war against the living or will they discover that they too are The Walking Dead?"
10,Fallout,(2024– ),55 min,8.6,,"Action, Adventure, Drama","When aristocratic Eddie inherits the family estate, he discovers that it's home to a huge weed empire, and its proprietors aren't going anywhere."
11,Masters of the Air,(2024),42 min,7.9,,"Action, Drama, Thriller","In a future, post-apocalyptic Los Angeles brought about by nuclear decimation, citizens must live in underground bunkers to protect themselves from radiation, mutants and bandits."
12,Monsieur Spade,(2024),96 min,6.9,,"Crime, Drama, Thriller","During World War II, five miles above the ground and behind enemy lines, ten men inside an aluminum bomber known as a ""Flying Fortress"" battle antiaircraft fire and unrelenting flocks of German fighters."
13,Mr. & Mrs. Smith,(2024– ),50 min,7,,"Action, Comedy, Crime",The famous detective Sam Spade is now 60 and living as an expat in the south of France in 1963.
14,Avatar: The Last Airbender,(2024– ),,7.2,,"Action, Adventure, Comedy","Two strangers land jobs with a spy agency that offers them a life of espionage, wealth, and travel. The catch: new identities in an arranged marriage."
15,Griselda,(2024),,7.2,,"Biography, Crime, Drama","A young boy known as the Avatar must master the four elemental powers to save the world, and fight against an enemy bent on stopping him."
16,Echo,(2023–2024),,6,,"Action, Adventure, Crime","Fleeing from Medellín to Miami, Griselda Blanco creates one of the most ruthless cartels in history."
17,Expats,(2023–2024),,6.2,,Drama,"Maya Lopez must face her past, reconnect with her Native American roots, and embrace the meaning of family and community if she ever hopes to move forward."
18,Criminal Record,(2024– ),,7.1,,"Crime, Drama, Thriller",A look at the personal and professional lives of a tight-knit group of expatriates living in Hong Kong.
19,,,,,,,Follows two brilliant detectives in a tug of war over a historic murder conviction and the quest to find common ground in a polarized Britain.
