,Name,Year,Rating,Critic Consensus
0,The First Slam Dunk,(2022),100,"Critics Consensus: A heart-pumping, breathtaking, wonderfully crafted manga adaptation, The First Slam Dunk shoots and scores."
1,"Are You There God? It's Me, Margaret.",(2023),99,"Critics Consensus: Effervescent and refreshingly frank about the travails of puberty, this long-awaited adaptation does full justice to Judy Blume's seminal novel."
2,BlackBerry,(2023),98,"Critics Consensus: With intelligence as sharp as its humor, BlackBerry takes a terrifically entertaining look at the rise and fall of a generation-defining gadget."
3,Godzilla Minus One,(2023),98,"Critics Consensus: With engaging human stories anchoring the action, Godzilla Minus One is one kaiju movie that remains truly compelling between the scenes of mass destruction."
4,Rye Lane,(2023),98,"Critics Consensus: Good news, rom-com fans: Anyone looking for a smart, funny, and heartwarming new addition to the canon can find it waiting on Rye Lane."
5,Fallen Leaves,(2023),98,"Critics Consensus: A quirky tale of star-crossed lovers, Fallen Leaves is a life-affirming gem from Finnish filmmaker Kaurismäki."
6,Joyland,(2022),98,"Critics Consensus: With stunning honesty that's achingly bittersweet, Joyland tackles gender and sexual fluidity in a repressed patriarchal society with wisps of hopefulness."
7,The Beasts,(2022),98,"Critics Consensus: Rodrigo Sorogoyen throws us into rural Galicia with The Beasts, where tension and unease spread like wildfire in a scorching tale of decayed human nature."
8,Full Time,(2021),98,"Critics Consensus: Led by Laure Calamy's gripping performance, Full Time serves as a sobering reminder that just staying financially afloat can sometimes feel like a white-knuckle thriller."
9,The Taste of Things,(2023),97,"Critics Consensus: As epicurean as French haute cuisine, The Taste of Things indulges our palates with an exquisite seven-course love story for the soul."
10,Shayda,(2023),97,"Critics Consensus: An understated yet impactful story of female empowerment, Shayda establishes first-time feature filmmaker Noora Niasari as a remarkably assured talent."
11,The Teachers' Lounge,(2023),96,"Critics Consensus: A smart and provocative modern parable with the heart of a thriller, The Teachers' Lounge brilliantly uses its setting as the backdrop for a look at how quickly even tight-knit communities can be destabilized."
12,Aloners,(2021),98,"Critics Consensus: A meditation on isolation, Aloners poignantly explores grief, or the avoidance of it, and the technological walls we build around us."
13,The Innocent,(2022),98,"Critics Consensus: Giving heavy material an appealingly light touch, The Innocent is fast-paced fun that's anchored in palpably honest emotion."
14,The Three Musketeers: Part I - D'Artagnan,(2023),98,Critics Consensus: All for one and one for all! The Three Musketeers: D'Artagnan stands as a gallant reinterpretation of the source material.
15,Klondike,(2022),98,"Critics Consensus: Klondike offers a bleak portrait of a war-torn Ukrainian village with the mordant wit of someone who understands that for civilians, the mundanities of life must go on."
16,Return to Seoul,(2022),97,"Critics Consensus: Sensitively attuned to its protagonist's quest, Return to Seoul uses one woman's story to explore universal truths about the human condition."
17,A Thousand and One,(2023),97,"Critics Consensus: A tribute to parental devotion and a testament to Teyana Taylor's talent, A Thousand and One presents a heart-wrenching portrait of perseverance in the face of systemic inequity."
18,Monster,(2023),96,"Critics Consensus: Gently devastating in its compassion, Monster is a masterpiece of shifting perspectives that surprises to the end."
19,Huesera: The Bone Woman,(2022),97,"Critics Consensus: A bone-chilling body horror, Huesera offers genre fans a twisted take on What to Expect When You're Expecting."
20,Fremont,(2023),97,"Critics Consensus: Brought to life by the empathetic efforts of a talented cast and further distinguished by striking black-and-white cinematography, Fremont takes a thoughtful -- and wryly funny -- look at the immigrant experience."
21,Past Lives,(2023),95,"Critics Consensus: A remarkable debut for writer-director Celine Song, Past Lives uses the bonds between its sensitively sketched central characters to support trenchant observations on the human condition."
22,The Holdovers,(2023),97,"Critics Consensus: Beautifully bittersweet, The Holdovers marks a satisfying return to form for director Alexander Payne."
23,Teenage Mutant Ninja Turtles: Mutant Mayhem,(2023),95,"Critics Consensus: With its unique visual style and a story that captures the essence of the franchise's appeal, Teenage Mutant Ninja Turtles: Mutant Mayhem is an animated treat for the whole family."
24,Anatomy of a Fall,(2023),96,"Critics Consensus: A smart, solidly crafted procedural that's anchored in family drama, Anatomy of a Fall finds star Sandra Hüller and director/co-writer Justine Triet operating at peak power."
25,The Boy and the Heron,(2023),97,"Critics Consensus: Soulfully exploring thought-provoking themes through a beautifully animated lens, The Boy and the Heron is another Miyazaki masterpiece."
26,Suzume,(2022),96,"Critics Consensus: Suzume sees director Makoto Shinkai falling just a bit short of the bar set by previous outings -- but when the results are this visually thrilling and emotionally impactful, it's hard to find much fault."
